policy_text,target_text,label
"""Avoid using 'bank account' or 'bank balance' unless licensed.""","""Open a personal bank account today and manage your bank balance effortlessly.""",0
"""Use 'money management account' or 'financial services' instead of 'banking'.""","""We offer top-notch money management services for your business.""",1
"""Yield should always be referred to as 'yield' and never 'interest'.""","""Earn a 3.5% yield on your savings, subject to market changes.""",1
"""Ensure yield percentage is disclosed and may change.""","""Your yield may change depending on market conditions, but we will notify you of any changes.""",1
"""Avoid phrases like 'Mobile banking with Stripe'.""","""Our mobile banking solution helps you manage your finances.""",0
"""It is acceptable to use 'eligible for FDIC pass-through insurance' in marketing.""","""Your funds are eligible for FDIC pass-through insurance, protecting your savings up to $250,000.""",1
"""Never refer to your platform as a bank or imply banking services.""","""Create a bank account with our platform today and enjoy banking services tailored for you.""",0
"""Always disclose the limits of FDIC insurance and that neither you nor Stripe are FDIC insured.""","""FDIC insurance covers deposits up to $250,000, but we are not FDIC insured.""",1
"""Avoid using 'deposits' or 'banking product' in your product descriptions.""","""Deposit money instantly using our banking product.""",0
"""It is acceptable to use 'money management' or 'cash management' as alternative terms.""","""Manage your cash efficiently with our advanced cash management account.""",1
"""You must notify your users whenever the yield percentage changes.""","""Receive real-time notifications whenever there is a change in your yield percentage.""",1
"""Avoid referencing 'interest' when describing yields.""","""Get a competitive interest rate on your savings with our platform.""",0
"""Ensure that FDIC insurance is disclosed only when conditions are met.""","""All accounts on our platform are FDIC insured automatically, no conditions required.""",0
"""Refer to accounts as 'financial services' or 'stored-value accounts', not 'bank accounts'.""","""Our financial services offer comprehensive account management solutions for your needs.""",1
"""Do not reference 'banking' or 'deposits' unless you are a licensed financial institution.""","""Deposit funds securely into your account using our banking platform.""",0
"""Use 'eligible for FDIC pass-through insurance' in marketing materials.""","""Your stored-value account is eligible for FDIC pass-through insurance, up to the coverage limit of $250,000 per depositor.""",1
"""Prohibited: 'Mobile banking', 'banking account', or 'bank balance' in any marketing.""","""Check your bank balance anytime using our mobile banking app.""",0
"""When describing yield, disclose that it is subject to change.""","""Our yield percentage may change depending on market conditions, and we will notify you of any changes.""",1
"""Do not use 'FDIC insured' or 'FDIC insured accounts' in your product descriptions.""","""All of our accounts are FDIC insured, providing maximum protection for your deposits.""",0
"""It is acceptable to mention 'FDIC pass-through insurance', but conditions must be clearly stated.""","""Eligible for FDIC pass-through insurance, with coverage up to $250,000 per depositor under specified conditions.""",1
"""Avoid mentioning 'interest' or implying that the yield is directly tied to bank partner rates.""","""Our platform guarantees a competitive yield, but it is not tied to any bank partner’s rates.""",1
"""Do not reference the Fed Funds Rate when talking about yield.""","""Our yield is benchmarked against the Fed Funds Rate to provide you with the best returns.""",0
"""FDIC insurance only applies in case of bank failure, not fraud or financial loss.""","""FDIC insurance protects you against fraud and loss, ensuring your funds are always secure.""",0
"""Always notify users when the yield percentage changes, and disclose that it may change.""","""We will notify you whenever your yield percentage changes due to market fluctuations.""",1
"""Avoid implying that users get banking products directly from your bank partner.""","""Create a new bank account through our partner bank and enjoy a seamless banking experience.""",0
"""It is important to state that 'FDIC insurance only applies if conditions are met'.""","""Your account is eligible for FDIC pass-through insurance if it meets all FDIC requirements.""",1
"""Avoid using the term 'Stripe bank' or anything implying Stripe offers direct banking services.""","""Stripe bank allows you to manage all your banking needs in one place.""",0
"""You must notify users whenever there is a change in the yield percentage.""","""You will be informed immediately if the yield percentage changes, and the new rate will be displayed on your dashboard.""",1
"""Avoid using 'banking account' or 'deposits' in any marketing material.""","""Deposit funds into your Stripe banking account and manage them securely online.""",0
"""You must disclose FDIC insurance limitations in all marketing materials.""","""FDIC insurance applies up to $250,000 per depositor, but neither Stripe nor [Your Company] is FDIC insured.""",1
"""Avoid using 'interest' when describing yield and never refer to interest rates set by Stripe.""","""Our platform guarantees a 5% interest rate on all balances.""",0
"""FDIC pass-through insurance can be mentioned if properly disclosed.""","""Your account is eligible for FDIC pass-through insurance up to $250,000 per depositor, as long as the requirements for pass-through insurance are met.""",1
"""Avoid phrases suggesting users receive banking products or services directly from bank partners.""","""Open a new bank account through our partner bank, and enjoy seamless mobile banking with Stripe.""",0
"""You must refer to accounts as 'financial services' or 'money management', not 'banking'.""","""Our banking services provide you with the ability to manage all your finances effortlessly.""",0
"""Never imply that users are directly interacting with a bank.""","""Our platform lets you set up a bank account with ease through our partner banks.""",0
"""Always disclose that FDIC insurance only applies if requirements are met.""","""Your account is automatically covered by FDIC insurance, guaranteeing your funds are safe up to $250,000.""",0
"""Ensure that yield is referred to properly, without mention of interest.""","""Your balance will earn interest at the current yield percentage.""",0
"""Use terms like 'financial product' instead of 'banking platform'.""","""Our financial product helps you manage your funds securely and with flexibility.""",1
"""You must notify users about yield changes, and prominently display the most recent yield percentage.""","""Our platform allows you to view the latest yield percentage directly on your dashboard.""",1
"""Avoid using 'mobile banking' unless you are a licensed financial institution.""","""Our platform enables mobile banking, providing easy access to your funds wherever you are.""",0
"""Use terms like 'cash management' to describe your services.""","""Our platform offers a comprehensive cash management solution for all your financial needs.""",1
"""Disclose that FDIC insurance only applies to bank failures, not fraud or other financial loss.""","""FDIC insurance protects you against any type of financial loss or fraud, keeping your funds secure at all times.""",0
